pathway	padj	NES	cluster	regulation
320	 UV RESPONSE UP	0.8748	-0.8103	4	DOWN
368	 UV RESPONSE UP	0.0062	1.3592	6	UP
416	 UV RESPONSE UP	0.4921	-1.0365	0	DOWN
50	 WNT BETA CATENIN SIGNALING	0.4515	-1.4795	1	DOWN
69	 WNT BETA CATENIN SIGNALING	0.4552	1.1046	3	UP
114	 WNT BETA CATENIN SIGNALING	0.7018	-0.8981	7	DOWN
166	 WNT BETA CATENIN SIGNALING	0.496	1.1925	8	UP
208	 WNT BETA CATENIN SIGNALING	0.2097	1.3522	2	UP
274	 WNT BETA CATENIN SIGNALING	0.7553	0.8767	5	UP
324	 WNT BETA CATENIN SIGNALING	0.8128	-0.9043	4	DOWN
382	 WNT BETA CATENIN SIGNALING	0.2333	1.1959	6	UP
410	 WNT BETA CATENIN SIGNALING	0.6263	-0.9313	0	DOWN
33	 XENOBIOTIC METABOLISM	0.8881	0.8839	1	UP
59	 XENOBIOTIC METABOLISM	0.2384	1.2684	3	UP
115	 XENOBIOTIC METABOLISM	0.6879	-0.9305	7	DOWN
170	 XENOBIOTIC METABOLISM	0.5383	1.1089	8	UP
235	 XENOBIOTIC METABOLISM	0.6484	-0.9631	2	DOWN
261	 XENOBIOTIC METABOLISM	0.1765	1.2525	5	UP
311	 XENOBIOTIC METABOLISM	0.7901	0.9435	4	UP
384	 XENOBIOTIC METABOLISM	0.1269	1.1949	6	UP
442	 XENOBIOTIC METABOLISM	0.0765	-1.4009	0	DOWN
